,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Total Expected Number of Deaths
111,153289419.4557031,0.11409615873394445,764795089.6314684,0.6934460564017026,1486644437.3369007,2.5667626698343597,0.0,0.0,0.0,0.0,0.0,0.0,3.374304884970007
112,2416203755.4364705,1.541690947567432,0.0,0.0,1619730820.8721175,2.5570124262854916,0.0,0.0,0.0,0.0,0.0,0.0,4.098703373852924
113,1754298304.8879118,1.0366576600758168,31557200.70072524,0.0252825387728437,1872041905.2197921,2.763720922384953,0.0,0.0,0.0,0.0,0.0,0.0,3.8256611212336136
114,2582326090.0881877,1.5173790817602546,101162775.416337,0.07784301430170472,1737205343.4865935,2.5205861075404155,0.0,0.0,0.0,0.0,0.0,0.0,4.115808203602375
115,1804449989.7281227,1.5364995767301015,0.0,0.0,567363462.8744223,1.2107058525660468,0.0,0.0,0.0,0.0,0.0,0.0,2.747205429296148
116,1066306384.8005836,0.6477485815580352,77331974.82023016,0.062707572438023,1868520030.3473442,2.820298949714452,0.0,0.0,0.0,0.0,0.0,0.0,3.5307551037105105
117,2117017319.45165,1.5604055007236477,0.0,0.0,1429342119.6148965,2.6248502205983675,0.0,0.0,0.0,0.0,0.0,0.0,4.185255721322015
118,155176657.60785967,0.11578395956074836,10349854.499509057,0.010477176058444865,1599592107.281223,2.872762011987044,0.0,0.0,0.0,0.0,0.0,0.0,2.9990231476062372
119,1429255306.5142665,0.7752245399225939,0.0,0.0,2023258194.7395368,2.727803149264686,0.0,0.0,0.0,0.0,0.0,0.0,3.50302768918728
120,2116555192.3946679,1.559979520218036,0.0,0.0,263509642.84127545,0.4745827544065353,0.0,0.0,0.0,0.0,0.0,0.0,2.0345622746245713
121,2747023799.6299024,1.5531372948772328,0.0,0.0,729215409.6050369,1.0245358126602135,0.0,0.0,0.0,0.0,0.0,0.0,2.5776731075374464
122,128272942.52266344,0.11363449872347953,127811275.47995046,0.14773854967745365,1327650073.889739,2.821996824973303,2528476.6241344763,0.0010380372536134502,0.0,0.0,0.0,0.0,3.0844079106278497
123,149748749.62516028,0.11565724540372953,0.0,0.0,1538393490.9651706,2.853491770265168,0.0,0.0,0.0,0.0,0.0,0.0,2.9691490156688976
124,2519608267.5968122,1.563374639842246,0.0,0.0,1659149399.7113874,2.530306268858947,0.0,0.0,0.0,0.0,0.0,0.0,4.093680908701193
125,2712390495.43746,1.5831626718901042,0.0,0.0,1484874122.7702482,2.1262385073544863,7128674.780398155,0.0018212048046392809,0.0,0.0,0.0,0.0,3.7112223840492296
126,156782841.2533742,0.1172204068272476,20086439.823921546,0.01998932226244412,1601856707.8524332,2.878207549376595,0.0,0.0,0.0,0.0,0.0,0.0,3.0154172784662867
127,2261396746.8216767,1.5493731347298405,185106753.0191648,0.16569370041170495,815710615.7978548,1.3887529307472772,0.0,0.0,0.0,0.0,0.0,0.0,3.1038197658888227
128,655939086.1645076,0.4419867015858507,0.0,0.0,1705177710.3486176,2.8393097986889138,0.0,0.0,0.0,0.0,0.0,0.0,3.2812965002747645
